IP,Ping,DownloadSpeed(MB/s),TimeTaken(s)
63.141.128.120,❌,0,0
172.67.70.166,❌,0,0
172.67.182.107,❌,0,0
172.67.70.224,❌,0,0
103.21.244.19,❌,0,0
103.21.244.34,❌,0,0
172.67.47.56,❌,0,0
172.67.75.185,❌,0,0
172.67.57.51,❌,0,0
172.67.21.238,❌,0,0
103.21.244.39,❌,0,0
103.21.244.90,❌,0,0
172.64.157.78,❌,0,0
172.67.16.255,❌,0,0
172.67.82.139,❌,0,0
172.67.30.246,❌,0,0
172.67.176.151,❌,0,0
147.185.161.0,❌,0,0
141.193.213.236,❌,0,0
216.24.57.253,❌,0,0
172.67.43.189,❌,0,0
172.67.8.155,❌,0,0
103.21.244.100,❌,0,0
103.21.244.168,❌,0,0
103.21.244.97,❌,0,0
66.235.200.135,❌,0,0
141.193.213.206,❌,0,0
63.141.128.66,❌,0,0
172.67.21.112,❌,0,0
66.235.200.200,❌,0,0
141.193.213.32,❌,0,0
66.235.200.149,❌,0,0
172.64.151.110,❌,0,0
172.67.177.202,❌,0,0
172.67.60.187,❌,0,0
172.67.152.101,❌,0,0
172.67.70.125,❌,0,0
159.112.235.215,❌,0,0
141.193.213.67,❌,0,0
66.235.200.248,❌,0,0
159.112.235.81,❌,0,0
172.67.196.69,❌,0,0
103.21.244.3,❌,0,0
172.67.180.50,❌,0,0
103.21.244.254,❌,0,0
103.21.244.66,❌,0,0
172.67.181.130,❌,0,0
172.67.181.107,❌,0,0
172.67.171.200,❌,0,0
172.67.171.218,❌,0,0
172.67.75.183,❌,0,0
141.193.213.115,❌,0,0
141.193.213.229,❌,0,0
172.67.7.19,❌,0,0
172.67.38.73,❌,0,0
172.67.89.13,❌,0,0
172.67.188.84,❌,0,0
63.141.128.229,✅,.04,118.075
63.141.128.174,❌,0,0
66.235.200.144,❌,0,0
172.67.70.104,❌,0,0
172.67.70.225,❌,0,0
172.67.195.65,❌,0,0
159.112.235.73,❌,0,0
172.67.150.166,❌,0,0
172.67.70.229,❌,0,0
173.245.58.135,❌,0,0
172.67.181.164,❌,0,0
103.21.244.88,❌,0,0
172.67.94.15,❌,0,0
172.67.125.246,❌,0,0
63.141.128.20,❌,0,0
172.67.182.150,❌,0,0
172.67.201.154,❌,0,0
172.67.218.212,❌,0,0
172.67.177.200,❌,0,0
172.67.171.202,❌,0,0
141.193.213.142,❌,0,0
172.67.179.190,❌,0,0
172.67.43.231,❌,0,0
141.193.213.127,❌,0,0
172.67.191.226,❌,0,0
172.67.170.72,❌,0,0
172.66.41.194,❌,0,0
159.112.235.83,❌,0,0
172.67.83.66,❌,0,0
141.193.213.145,❌,0,0
172.67.133.120,❌,0,0
172.67.212.57,❌,0,0
66.235.200.179,❌,0,0
66.235.200.212,❌,0,0
63.141.128.20,❌,0,0
172.67.70.57,❌,0,0
159.112.235.126,❌,0,0
172.64.154.232,❌,0,0
172.67.167.80,❌,0,0
63.141.128.177,❌,0,0
159.112.235.137,❌,0,0
172.67.210.2,❌,0,0
141.193.213.10,❌,0,0
141.193.213.11,❌,0,0
172.67.34.8,❌,0,0
172.67.167.17,❌,0,0
172.67.8.19,❌,0,0
172.67.73.239,❌,0,0
172.67.191.254,❌,0,0
172.67.75.167,❌,0,0
